first_name, last_name, party
CHAFEE, democrat
CLINTON, democrat
O'MALLEY, democrat
SANDERS, democrat
WEBB, democrat
BIDEN, democrat
WARREN, democrat

BUSH
CARSON
CHRISTIE
CRUZ
FIORINA
GILMORE
GRAHAM
HUCKABEE
JINDAL
KASICH
PATAKI
PAUL
PERRY
RUBIO
SANTORUM
TRUMP  
WALKER
ROMNEY
